
--- 2025-09-05 10:37:38 Logging Started on ---
10:37:38 [D] Plugin Load file path,C:\Users\ASUS\Downloads\Compressed\VideoSDK_Win64\bin\play_ctrl_config.xml, 0!  [CPluginMgr::StaticLoadPlugins:266]
10:37:38 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:37:38 [D] ProcPluginLoad, Plugin: hik  [CPluginMgr::LoadPlugin:588]
10:37:38 [D] Plugin Load Success, pszProcName:hik!  [CPluginMgr::LoadPlugin:756]
10:37:38 [I] delayload [play_plugins/dahua_play_plugin/dahua_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:37:38 [D] ProcPluginLoad, Plugin: dahua  [CPluginMgr::LoadPlugin:588]
10:37:38 [D] Plugin Load Success, pszProcName:dahua!  [CPluginMgr::LoadPlugin:756]
10:37:38 [I] delayload [play_plugins/chengfeng_play_plugin/chengfeng_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:37:38 [D] ProcPluginLoad, Plugin: chengfeng  [CPluginMgr::LoadPlugin:588]
10:37:38 [D] Plugin Load Success, pszProcName:chengfeng!  [CPluginMgr::LoadPlugin:756]
10:37:38 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:37:38 [D] ProcPluginLoad, Plugin: db33  [CPluginMgr::LoadPlugin:588]
10:37:38 [D] Plugin Load Success, pszProcName:db33!  [CPluginMgr::LoadPlugin:756]
10:37:38 [I] delayload [play_plugins/infinova_play_plugin/infinova_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:37:38 [D] ProcPluginLoad, Plugin: infinova  [CPluginMgr::LoadPlugin:588]
10:37:38 [D] Plugin Load Success, pszProcName:infinova!  [CPluginMgr::LoadPlugin:756]
10:37:38 [I] delayload [play_plugins/hb_play_plugin/hb_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:299]
10:37:38 [D] ProcPluginLoad, Plugin: hb  [CPluginMgr::LoadPlugin:588]
10:37:38 [D] Plugin Load Success, pszProcName:hb!  [CPluginMgr::LoadPlugin:756]
10:37:38 [D] Vag playctrl sdk init success!  [VPLAY_Init:108]
10:37:42 [D] xcx VPLAY_GetPlayHandle start,pDecodeType:(null)  [VPLAY_GetPlayHandle:156]
10:37:42 [D] GetPlayHandle start,pDecodeType:(null)  [CVagPlayctrl::GetPlayHandle:32]
10:37:42 [D] xcx iPlayHandle:1820881007, SetStreamOpenMode :0,result=0, err=10000  [VPLAY_SetStreamOpenMode:192]
10:37:42 [D] VPLAY_OpenStream start,pHeadBuf:IMKH,iBufSize:40  [VPLAY_OpenStream:242]
10:37:42 [D] OpenStream start,pHeadBuf:IMKH,iBufSize:40  [CVagPlayctrl::OpenStream:183]
10:37:42 [D] m_strPluginName[hik] not load, will load  [CPlayPlugin::InitPlayHandle:163]
10:37:42 [D] ProcPluginLoad, Plugin: hik  [CPluginMgr::LoadPlugin:588]
10:37:42 [D] Load strPluginName[hik] Now!!!  [CPluginMgr::LoadPlugin:607]
10:37:42 [D] Plugin Load Success, pszProcName:hik!  [CPluginMgr::LoadPlugin:748]
10:37:42 [D] m_strPluginName[hik]  load succ.  [CPlayPlugin::InitPlayHandle:169]
10:37:53 [D] DecodeId[hik]  [CVagPlayctrl::OpenStream:220]
10:37:54 [D] OpenStream ok  [CVagPlayctrl::OpenStream:226]
10:37:54 [D] [iPlayHandle=-1605681024, nLevel=1] CPlayPlugin::SetDemuxModel Successed!  [CPlayPlugin::SetDemuxModel:3111]
10:37:54 [D] [iPlayHandle=1820881007] CVagPlayctrl::SetDemuxModel Successed!  [CVagPlayctrl::SetDemuxModel:2785]
10:37:54 [D] [iPlayHandle=1820881007] VPLAY_SetDemuxModel Successed!  [VPLAY_SetDemuxModel:1981]
10:37:54 [D] iPlayHandle:1820881007, VPLAY_Play Called.  [VPLAY_Play:642]
10:38:27 [D] xcx freePlayhandle :1820881007  [VPLAY_FreePlayHandle:172]
10:38:28 [D] xcx VPLAY_GetPlayHandle start,pDecodeType:(null)  [VPLAY_GetPlayHandle:156]
10:38:28 [D] GetPlayHandle start,pDecodeType:(null)  [CVagPlayctrl::GetPlayHandle:32]
10:38:28 [D] xcx iPlayHandle:26245146, SetStreamOpenMode :0,result=0, err=10000  [VPLAY_SetStreamOpenMode:192]
10:38:28 [D] VPLAY_OpenStream start,pHeadBuf:IMKH,iBufSize:40  [VPLAY_OpenStream:242]
10:38:28 [D] OpenStream start,pHeadBuf:IMKH,iBufSize:40  [CVagPlayctrl::OpenStream:183]
10:38:28 [D] DecodeId[hik]  [CVagPlayctrl::OpenStream:220]
10:38:28 [D] OpenStream ok  [CVagPlayctrl::OpenStream:226]
10:38:28 [D] [iPlayHandle=-1605593536, nLevel=1] CPlayPlugin::SetDemuxModel Successed!  [CPlayPlugin::SetDemuxModel:3111]
10:38:28 [D] [iPlayHandle=26245146] CVagPlayctrl::SetDemuxModel Successed!  [CVagPlayctrl::SetDemuxModel:2785]
10:38:28 [D] [iPlayHandle=26245146] VPLAY_SetDemuxModel Successed!  [VPLAY_SetDemuxModel:1981]
10:38:28 [D] iPlayHandle:26245146, VPLAY_Play Called.  [VPLAY_Play:642]
10:38:42 [D] xcx iPlayHandle:26245146, VPLAY_StartSnapShot Called.  [VPLAY_StartSnapShot:1114]
10:38:42 [D] xcx iPlayHandle:26245146, VPLAY_StartSnapShot Called!,result=0, err=10000  [VPLAY_StartSnapShot:1118]
